x,y,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
2322.443846,876.7594429,6.756932389,5.978885765,6.807934944,6.637258031,6.807934944,7.18690102,6.953684211,7.249925537,5.897153868,7.483806688,5.214935758,6.894670039,7.562161631,7.40671073,7.188412736,7.001245622,7.147559271,6.894670039,6.063785209,7.081708586,6.186208624,6.626717749,7.33628566,6.490723535,7.057897937,6.807934944,6.883462586,7.06646697,7.035268599,7.143617603,7.113142109,7.188412736,7.120444372,7.091742115,7.319202459,6.695798917,7.486052618,7.127693699,5.976350909,7.092573716,6.953684211,7.347943823,7.480428306,6.481577129,303.3259083
740.1271457,797.5083587,7.02464903,6.710523109,7.123672785,5.918893854,7.044905117,7.527255919,6.66949809,7.180831199,7.170888479,6.597145702,7.542213463,6.212606096,7.434257382,6.637258031,6.359573869,6.732210706,4.634728988,6.838405201,6.276643489,7.451822237,7.113142109,6.137727054,7.153833802,7.476472381,6.717804695,6.059123196,6.720220155,6.075346031,6.878326468,7.091742115,7.167037877,7.688455357,7.239214974,6.782192056,7.03438793,6.282266747,6.89060912,6.690842277,7.329749689,7.509335266,7.46221494,7.084226422,5.860786223,7.273092596,300.8061322
2318.537388,697.0981073,6.463029457,6.994849986,7.135687347,6.406879986,6.063785209,6.860663671,6.620073207,7.31986493,6.802394763,7.568379268,6.633318433,6.406879986,6.827629235,6.816735881,7.135687347,7.169350017,7.351158226,6.708084084,6.280395839,6.368187186,6.270988432,6.876264612,6.726233402,6.586171655,7.153833802,7.102499356,6.558197803,6.956545443,7.151485464,7.163172391,6.202535517,6.860663671,7.012115294,7.385230923,6.765038977,6.529418838,6.752270376,7.221105098,5.937536205,6.784457063,6.997595983,6.913737351,7.124478262,6.527957918,299.4925679
759.0873237,946.3109077,6.838405201,6.304448802,6.881411304,5.924255797,6.486160789,6.909753282,6.796823718,7.035268599,6.948897222,6.883462586,7.209340257,6.463029457,6.939253946,6.710523109,6.626717749,6.800170068,6.196444128,6.741700695,6.961296046,7.188412736,6.932447892,6.93439721,6.744059186,7.370860167,6.720220155,6.11146734,7.02464903,6.66057515,6.708084084,6.975413927,7.211556733,7.145196135,7.379632153,6.559615237,6.021023349,6.22059017,7.336936914,6.913737351,7.096721378,7.175489714,7.26612878,6.270988432,6.43775165,6.765038977,298.8283566
817.7866771,1000.234237,6.927557906,6.624065228,6.836259277,6.663132696,6.434546519,6.970730078,7.257002707,7.161622003,6.921658184,6.656726524,7.030857476,6.637258031,6.921658184,6.546785411,6.206575927,6.689599269,6.588926478,6.02827852,7.044905117,7.106606138,6.838405201,6.987490247,7.037905963,7.253470383,7.026426809,6.442540166,6.532334292,5.937536205,6.64118217,7.275172319,6.656726524,7.030857476,7.036148494,6.679599186,6.118097198,6.606650186,7.180069874,6.997595983,7.126087273,7.095893221,6.956545443,6.535241271,6.180016654,6.950814768,298.377559
2230.729611,830.1935159,6.202535517,6.257667588,6.886531643,6.232448017,6.695798917,7.062191632,6.624065228,6.71417053,6.539585956,7.351158226,5.996452089,6.838405201,7.564757013,7.31986493,7.163172391,7.017506143,7.008505182,6.666956792,6.606650186,6.695798917,6.070737728,7.03966035,7.098375639,6.418364936,6.532334292,6.66057515,6.56526497,7.307872781,6.475432717,6.982862751,6.66949809,6.914730893,7.329749689,7.086737935,6.343880434,6.208590026,7.807916629,7.008505182,6.182084907,6.898714534,6.658011046,7.136483209,7.021083964,6.463029457,298.3247194
2805.909859,885.471828,7.28756064,5.97126184,7.466799475,7.010311867,6.542471961,6.762729507,6.650279049,6.978213743,6.447305863,7.248504072,6.003887067,6.406879986,6.267200549,6.572282543,7.207859871,7.008505182,6.759255271,6.906754779,6.327936784,6.620073207,6.100318952,7.035268599,7.198183577,7.194436851,6.309918278,6.946975992,6.304448802,7.205635176,6.723832441,6.597145702,6.683360946,6.886531643,7.433075349,6.971668605,5.860786223,6.907755279,7.296413269,7.157735484,5.929589143,7.17395832,7.3524411,6.343880434,7.142827401,6.593044534,297.7953054
1756.899168,860.8825028,6.008813185,5.855071922,7.273092596,6.708084084,7.663877259,6.779921907,7.175489714,6.785587645,6.336825731,7.218909708,6.212606096,6.418364936,7.543273347,6.735780014,6.463029457,7.622174595,6.805722553,6.354370041,6.304448802,6.90475077,5.846438775,6.517671273,7.01301579,7.278628942,7.123672785,7.347943823,6.442540166,6.675823222,7.114769448,6.744059186,6.345636361,6.517671273,6.9117473,6.961296046,7.208600338,6.267200549,7.029087564,7.097548851,6.354370041,7.239214974,6.163314804,6.304448802,6.853299093,6.828712072,297.3569058
2917.581841,720.7245918,7.317876199,6.047372179,7.03966035,7.207859871,6.040254711,6.575075841,6.070737728,7.057897937,6.626717749,6.410174882,6.406879986,6.318968114,5.831882477,6.683360946,7.593374193,6.774223886,6.553933404,6.782192056,6.159095388,6.418364936,6.953684211,6.396929655,6.202535517,7.222566019,6.086774727,7.042286172,6.359573869,7.050989447,7.117205503,6.805722553,6.483107351,6.486160789,7.180831199,6.91274282,6.584791392,7.00488199,7.33628566,7.22620901,6.643789733,6.588926478,8.13710339,6.968850378,7.155396302,7.232010332,297.0952573
2709.305488,824.1954749,7.260522598,5.996452089,7.149916836,6.65415252,6.478509642,6.816735881,6.238324625,7.24636808,6.035481433,7.43543802,5.958424693,6.525029658,6.047372179,6.876264612,7.055312843,6.741700695,7.070724107,6.708084084,6.525029658,6.513230111,6.086774727,6.439350371,7.161622003,6.929516771,6.100318952,6.985641818,5.966146739,7.273092596,6.418364936,6.606650186,6.276643489,6.802394763,7.685243608,6.782192056,6.204557763,6.637258031,7.31986493,7.311886164,6.553933404,7.528331767,7.446585099,6.124683391,6.971668605,6.665683718,295.6114803
